sample_id,target_track_id,query_track_id,t_target,t_query,n_repetitions,estimated_tempo_ratio,target_instruments,query_interfering_instruments,query_type,interpolation,comments
S055,T090,T092,0,0,101,1.08,drums,bass/other/vocals,beat,no, 
S056,T094,T093,5,0,60,1.05,other/bass,drums/vocals/other,riff,no, pitch shifted up a semitone
S057,T090,T093,0,0,150,1.08,drums,drums/bass/other/vocals,beat,no, half of the samples used in S054 and S55
S058,T095,T093,138,0,40,1.21,other/bass/drums,other/bass/drums/vocals,riff,no, it seems that bass and drums are removed from query or at least covered
S060,T098,T097,0,8,204,1.08,drums,vocals/other/bass,beat,no, pretty short but ok
S061,T098,T099,0,11,150,1.0,drums,bass/vocals/other,beat,no, Pretty short only full cycles counted
S062,T098,T100,0,5,100,0.97,drums,bass/vocals/other,beat,no, pretty short but ok
S063,T101,T102,1,0,24,1.02,drums/bass/other,vocals,riff,no, pitch shifted up
S064,T104,T103,1,15,96,1.07,drums,bass/vocals/other,beat,no, 
S067,T108,T109,6,54,114,1.0,drums/other,vocals/other,beat,no, 
S068,T111,T110,0,15,55,1.02,drums/vocals/other,bass/vocals/other,riff,no, pitch shifted up
S069,T112,T110,14,0,1,1.02,drums/bass/vocals,vocals,riff,no, quite clean actually
S071,T116,T115,88,7,82,0.85,drums/bass,vocals,beat,no, pretty distorted final drums - might have overlapping
S072,T117,T115,1,60,7,0.93,drums/other,vocals,riff,no, 
S073,T119,T118,5,0,139,0.78,drums,bass/other/vocals,beat,no, 
S074,T085,T121,1,0,74,1.05,drums,vocals/other/bass,beat,no, Perhaps chopped with compression or gated reverb: different timbre; yet accurate pattern. this was originally marked as interpolation I'm pretty sure it isnt
S078,T145,T144,12,39,2,1.12,drums/other,drums,riff,no, 
S079,T145,T146,1,0,22,1.04,drums,vocals/other,beat,no, 
S080,T148,T147,18,5,24,0.81,bass/drums/other,drums/vocals,riff,no, the original drums have been erased or covered
S081,T148,T149,18,13,15,0.93,bass/drums/other,vocals/other,riff,no, end of loop doubled (not counted). pitch shifted down.
S082,T151,T150,6,114,7,1.0,bass/drums,drums/vocals,riff,no, extremely short
S083,T145,T152,3,56,28,1.08,drums,vocals/other,beat,no, hi-hat has been covered or removed from drums
S084,T154,T153,18,0,54,riff,no, LF only
S086,T154,T157,1,1,9,1.0,bass/other,vocals,riff,no, intro
S089,T160,T157,0,64,8,0.97,other/drums,bass/vocals,riff,no, pitch shifted down
S091,T162,T163,0,17,3,1.0,drums,bass/vocals/other,beat,probably, HF only and soft. Very hard to detect.
S092,T162,T164,8,7,53,0.97,drums/other,vocals/other,riff,no, 
S094,T167,T166,6,15,43,1.0,bass/drums/other,drums/vocals/other,riff,no, Bass + synth
S098,T173,T172,108,5,71,1.0,other/drums,drums/bass/other/vocals,riff,no, 
S101,T177,T176,0,0,27,1.0,bass/drums,vocals/drums/other,riff,no, 
S103,T180,T179,1,1,12,1.0,drums/other,vocals/other/bass/drums,riff,no, for some reason source separation algorithms detect the trumpets as vocals 
S104,T182,T181,0,0,99,1.19,bass/drums/other,vocals,riff,no, 
S106,T185,T184,0,135,8,0.91,other,drums/vocals/other,riff,no, 
S107,T083,T184,321,137,7,0.95,drums/bass/other,vocals/other,beat,no, tiny piece of bass and guitar at the start of beat 
S109,T160,T187,0,9,77,0.93,drums/other,drums/vocals/other,riff,no, might be 39
S112,T088,T187,1,0,21,1.0,drums,vocals/other,beat,no, 
S113,T083,T189,321,137,4,0.98,drums/vocals/other,vocals,beat,no, might be 2
S114,T083,T190,321,0,102,1.06,drums/vocals/other,other/vocals,beat,no, 
S115,T083,T191,321,11,112,1.02,drums/vocals/other,bass/vocals/other,beat,no, 
S116,T193,T192,106,5,75,1.0,drums,bass/vocals/other,beat,no, Beginnings counted
S120,T199,T184,5,2,71,1.0,bass/drums/other,vocals,riff,no, 
S121,T064,T065,2,0,12,1.37,bass/drums/other,vocals,riff,no, the intro/refrain riff
S122,T072,T073,4,32,5,0.96,other/drums/bass,other/vocals,riff,no, brass part
S123,T062,T063,59,49,44,riff,yes, verse (very soft)
S124,T052,T051,1,13,80,1.0,drums,bass/vocals/other,beat,no, only the measures with double BD counted
S125,T042,T041,7,12,16,1.26,bass/other,bass/vocals/drums,riff,no, the guitar + strings bar
S126,T038,T037,4,52,10,1.0,bass/other,bass/drums,riff,no, the guitar + brass bar
S127,T031,T030,46,13,43,1.0,other,vocals/drums,riff,no, end of loop
S128,T029,T028,5,27,4,1.0,bass/drums/vocals/other,drums/vocals,riff,no, 10 sec refrain
S129,T023,T022,11,84,2,1.26,bass/drums/other,bass/drums/vocals,riff,maybe, saxophone
S130,T014,T013,68,0,1,1.05,drums/bass/other,vocals,riff,no, intro not interpolated
S131,T003,T004,23,20,9,1.0,bass/drums,vocals,riff,no, repeated beat (of which 3 included in S2)
S134,T167,T166,2,25,14,1.0,bass/drums/other,vocals/drums,riff,no, Just bass - the other sample is covered in S094
S135,T199,T184,14,58,3,0.97,bass/other/drums,vocals/other,riff,no, brass riff
S136,T199,T184,66,0,2,1.0,other/drums,vocals/drums/other/bass,riff,no, brass crescendo
S137,T173,T172,1,44,14,1.0,bass/drums/other,vocals,riff,no, 
